category_id,category_name,subcategory_name,product_id,product_name,suggested_unit,item_type,notes
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-matta-rice,Matta rice,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-raw-rice,Raw rice,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-boiled-rice,Boiled rice,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-kuruva-rice,Kuruva rice,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-cherumani-rice,Cherumani rice,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-jaya-rice,Jaya rice,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-sona-masoori-rice,Sona masoori rice,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-basmati-rice,Basmati rice,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-jeerakasala-rice,Jeerakasala rice,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-gandhakasala-rice,Gandhakasala rice,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-ponni-rice,Ponni rice,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-idli-rice,Idli rice,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-broken-rice,Broken rice,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-red-rice,Red rice,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-brown-rice,Brown rice,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-white-rice,White rice,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-navara-rice,Navara rice,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Rice varieties,prod-aval-rice-flakes,Aval rice flakes,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Flours,prod-wheat-flour,Wheat flour,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Flours,prod-atta,Atta,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Flours,prod-maida,Maida,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Flours,prod-rice-flour,Rice flour,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Flours,prod-roasted-rice-flour,Roasted rice flour,kg,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Flours,prod-appam-podi,Appam podi,pack,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Flours,prod-puttu-podi,Puttu podi,pack,Staple pantry items,
cat-rice-grains-and-flour,"Rice, Grains & Flour",Flours,prod-idiyappam-podi,Idiyappam podi,pack,Staple pantry items,
